Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5199333,,None,404.36,1,5.35,3,FC(F)(F)c1cccc(N[C@H]2CC[C@@H](Nc3ccnc(C(F)(F)F)n3)CC2)c1,IC50,'=',1800,nM,5.75,,,UO_0000065,14.21,0.28,0.39,11.53,0,CHEMBL5144522,Inhibition of human MALT1 assessed as cleavage of substrate using fluorescent labeled Ac-LRSR-Rh110 peptide as substrate incubated for 30 mins followed by substrate addition and measured after 3 to 4 hrs by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL5143527,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5 hr,INHIBITOR,,1.8
CHEMBL4584981,NVS-MALT1-C,None,574.03,1,4.72,EUB0000747a,CO[C@@H](C)c1c(Nc2ccc([C@@H](N(C)C(=O)C3CCS(=O)(=O)CC3)C(F)(F)F)cc2)cnc2cc(Cl)nn12,IC50,'=',190,nM,6.72,,,UO_0000065,11.71,0.24,2,6.35,0,CHEMBL5210504,Affinity Biochemical interaction (TR-FRET assay (high salt)) EUB0000747a MALT1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Mode of action: Negative control for NVS-MALT1 | Protein family: Protease | Recommended concentration = 1.0 uM,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL5210307,65,EUbOPEN Chemogenomic Library Literature Data,,2023,None,Affinity Biochemical Source Knowledge: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/NVS-MALT1,,,190
CHEMBL4129003,,None,333.79,0,3.73,3,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ccccn2)CC1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4122925,Inhibition of cIAP2 fused MALT1 (unknown origin) expressed in HEK293 cells assessed as suppression of NF-kB activation after 24 hrs by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4118176,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,,
CHEMBL3813708,,None,465.74,0,3.9,14,COCCOc1nc(-c2cccc(Br)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,IC50,'=',17000,nM,4.77,,,UO_0000065,10.24,0.23,0.87,6.09,0,CHEMBL3816058,Inhibition of recombinant Malt1 (unknown origin) at 10 to 1000 uM preincubated for 1 hr followed by (S)-1-((6-(4-(4-(5,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3806279,,None,394.36,0,3.8,6,CO[C@@H](C)c1c(NC(=O)Nc2cncc(C(F)(F)F)c2)cnc2cc(C)nn12,IC50,'=',0.052,nM,10.28,,,UO_0000065,26.08,0.5,6.48,11.01,0,CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804826,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307526,,,,0.052
CHEMBL3805390,,None,488.34,0,3.8,76,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,IC50,'=',0.028,nM,10.55,,,UO_0000065,21.61,0.44,6.75,8.5,0,CHEMBL3807231,Inhibition of MALT1 (unknown origin) expressed in human Jurkat Clone K22 29Q_H23 cells assessed as IL2 production preincubated for 30 mins followed by PMA stimulation for 5.5 hrs by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804826,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307526,,,,0.028
CHEMBL3806235,,None,493.84,0,3.87,54,O=C(Nc1cnc(-n2nccn2)c(C(F)(F)F)c1)Nc1cnc2cc(Cl)nn2c1C1CCCO1,IC50,'=',0.004,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3807229,Inhibition of MALT1 C domain (329 to 824 residues) (unknown origin) using Ac-Trp-Leu-Arg-Ser-Arg-Cys(PT14)-NH2 as substrate preincubated for 60 mins followed by substrate addition measured after 60 mins by fluorescence lifetime-based microtitre plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804826,1,Scientific Literature,ACS Med Chem Lett,2016,None,,,,0.004
CHEMBL4761510,,None,411.68,0,4.24,4,COc1ccc(NC(=O)NC2COc3ccc(Br)cc3C2)cc1Cl,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4678226,Allosteric inhibition of MALT1 in human OCI-LY3 cells assessed as reduction in BCL10 cleavage measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,OCILY3,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4673331,1,Scientific Literature,J Med Chem,2020,None,TIME = 24.0 hr,,,
CHEMBL4748505,,None,466.93,0,4.42,18,COc1ncc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N(C)C2CCOCC2)cc1Cl,IC50,'=',190,nM,6.72,,,UO_0000065,14.39,0.28,2.3,5.98,0,CHEMBL4678226,Allosteric inhibition of MALT1 in human OCI-LY3 cells assessed as reduction in BCL10 cleavage measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,OCILY3,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4673331,1,Scientific Literature,J Med Chem,2020,None,TIME = 24.0 hr,NEGATIVE ALLOSTERIC MODULATOR,,0.19
CHEMBL4756634,,None,472.95,0,4.61,21,COc1ncc(NC(=O)Nc2cnc3ccc(F)cc3c2N(C)C2CCCN(C)C2)cc1Cl,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4678226,Allosteric inhibition of MALT1 in human OCI-LY3 cells assessed as reduction in BCL10 cleavage measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,OCILY3,None,,,,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4673331,1,Scientific Literature,J Med Chem,2020,None,TIME = 24.0 hr,,,
